KodLan,NamSek,Rank,Jenjang,SubJenjang,Status,PD,Kec,KotKab,Kota,Provinsi,Alamat
20269549,SMP MELATI INDONESIA,,SMP,SMPS,Swasta,22,Rawalumbu,Kota,BEKASI,Jawa Barat,
20615910,SMP MENARA HARAPAN,,SMP,SMPS,Swasta,0,Ciputat,Kota,TANGERANG SELATAN,Banten,
20616376,SMP MENARA TIRZA,,SMP,SMPS,Swasta,98,Kelapa Dua,Kab,TANGERANG,Banten,
69948872,SMP MENTARI INTERCULTURAL SCHOOL GRAND SURYA,,SMP,SMPS,Swasta,229,Kali Deres,Kota,JAKARTA BARAT,DKI Jakarta,
20109371,SMP MENTARI INTERCULTURAL SCHOOL JAKARTA,,SMP,SMPS,Swasta,275,Kebayoran Baru,Kota,JAKARTA SELATAN 2,DKI Jakarta,
20106838,SMP MERDEKA SARI,,SMP,SMPS,Swasta,162,Cengkareng,Kota,JAKARTA BARAT,DKI Jakarta,
20106839,SMP Meruya Ilir 1,,SMP,SMPS,Swasta,207,Kembangan,Kota,JAKARTA BARAT,DKI Jakarta,
20106561,SMP Methodist,,SMP,SMPS,Swasta,252,Penjaringan,Kota,JAKARTA UTARA,DKI Jakarta,"No. 91 AY, Jl. Terusan Bandengan Utara, Pejagalan, Penjaringan, North Jakarta City, Jakarta 14450"
20222903,SMP METROPOLITAN,,SMP,SMPS,Swasta,22,Bekasi Barat,Kota,BEKASI,Jawa Barat,
69964084,SMP MIFTAHUL HIDAYAH,,SMP,SMPI,Swasta,0,Pamijahan,Kab,BOGOR 2,Jawa Barat,
20222902,SMP MIFTAHUL HIDAYAH,,SMP,SMPI,Swasta,84,Pondokgede,Kota,BEKASI,Jawa Barat,
69969887,SMP MIFTAHUL HUDA ISLAMIC BOARDING SCHOOL,,SMP,SMPI,Swasta,159,Cibungbulang,Kab,BOGOR 2,Jawa Barat,
69953400,SMP MIFTAHUL JANNAH,,SMP,SMPI,Swasta,0,Cikupa,Kab,TANGERANG,Banten,
20231094,SMP MIFTAHUNNUR,,SMP,SMPI,Swasta,0,Leuwisadeng,Kab,BOGOR 2,Jawa Barat,
69976770,SMP MILLENNIA WORLD SCHOOL,,SMP,SMPS,Swasta,0,Ciputat,Kota,TANGERANG SELATAN,Banten,
70006488,SMP MINHAJUL FALAH,,SMP,SMPI,Swasta,0,Rajeg,Kab,TANGERANG,Banten,
20606779,SMP MITRA BINTARO,,SMP,SMPS,Swasta,162,Pinang,Kota,TANGERANG 1,Banten,
70034199,SMP MITRA BINTARO ISLAMIC SCHOOL,,SMP,SMPS,Swasta,0,Pondok Aren,Kota,TANGERANG SELATAN,Banten,
70003387,SMP MITRA CENDEKIA INDONESIA,,SMP,SMPS,Swasta,0,Setu,Kota,TANGERANG SELATAN,Banten,
20243991,SMP MITRA KARYA,,SMP,SMPS,Swasta,0,Karang Bahagia,Kab,BEKASI,Jawa Barat,
20614886,SMP MITRA PERSADA JAWILAN,,SMP,SMPS,Swasta,326,Jawilan,Kab,SERANG,Banten,
20109520,SMP MITRA REFORMASI,,SMP,SMPS,Swasta,121,Kembangan,Kota,JAKARTA BARAT,DKI Jakarta,
20232523,SMP MIZAN,,SMP,SMPS,Swasta,190,Cipayung,Kota,DEPOK 1,Jawa Barat,
20603573,SMP MKGR SEPATAN,,SMP,SMPS,Swasta,156,Sepatan,Kab,TANGERANG,Banten,
69893780,SMP MODEL AR RIYADH INSAN CENDEKIA,,SMP,SMPS,Swasta,252,Medan Satria,Kota,BEKASI,Jawa Barat,
69942577,SMP MODERN AL- ALAWIYAH,,SMP,SMPS,Swasta,0,Tanah Sareal,Kota,BOGOR,Jawa Barat,
20253935,SMP MOGALLANA,,SMP,SMPS,Swasta,57,Medan Satria,Kota,BEKASI,Jawa Barat,
20606705,SMP MOJOPAHIT,,SMP,SMPS,Swasta,70,Ciledug,Kota,TANGERANG 1,Banten,
69831548,SMP MUARA ILMU,,SMP,SMPS,Swasta,63,Bojongsari,Kota,DEPOK 1,Jawa Barat,
20107114,SMP MUARA INDONESIA,,SMP,SMPS,Swasta,206,Jatinegara,Kota,JAKARTA TIMUR 2,DKI Jakarta,
